"service_id","date","exception_type"
3,20160807,1
Nb,20160807,1
0,20160808,1
Sf,20160808,1
Na,20160808,1
0,20160809,1
Sf,20160809,1
Na,20160809,1
0,20160810,1
Sf,20160810,1
Na,20160810,1
0,20160811,1
Sf,20160811,1
Na,20160811,1
0,20160812,1
Sf,20160812,1
Na,20160812,1
Yr,20160812,1
Fa,20160812,1
2,20160813,1
3,20160814,1
Nb,20160814,1
0,20160815,1
Sf,20160815,1
Na,20160815,1
0,20160816,1
Sf,20160816,1
Na,20160816,1
0,20160817,1
Sf,20160817,1
Na,20160817,1
0,20160818,1
Sf,20160818,1
Na,20160818,1
0,20160819,1
Sf,20160819,1
Na,20160819,1
Yr,20160819,1
Fa,20160819,1
2,20160820,1
3,20160821,1
Nb,20160821,1
0,20160822,1
Sf,20160822,1
Na,20160822,1
0,20160823,1
Sf,20160823,1
Na,20160823,1
0,20160824,1
Sf,20160824,1
Na,20160824,1
0,20160825,1
Sf,20160825,1
Na,20160825,1
0,20160826,1
Sf,20160826,1
Na,20160826,1
Yr,20160826,1
Fa,20160826,1
2,20160827,1
3,20160828,1
Nb,20160828,1
0,20160829,1
Sf,20160829,1
Na,20160829,1
0,20160830,1
Sf,20160830,1
Na,20160830,1
0,20160831,1
Sf,20160831,1
Na,20160831,1
0,20160901,1
Sf,20160901,1
Na,20160901,1
0,20160902,1
Sf,20160902,1
Na,20160902,1
Yr,20160902,1
Fa,20160902,1
2,20160903,1
3,20160904,1
Nb,20160904,1
0,20160905,1
Sf,20160905,1
Na,20160905,1
0,20160906,1
Sf,20160906,1
Na,20160906,1
0,20160907,1
Sf,20160907,1
Na,20160907,1
0,20160908,1
Sf,20160908,1
Na,20160908,1
0,20160909,1
Sf,20160909,1
Na,20160909,1
Yr,20160909,1
Fa,20160909,1
2,20160910,1
3,20160911,1
Nb,20160911,1
0,20160912,1
Ss,20160912,1
Na,20160912,1
0,20160913,1
Ss,20160913,1
Na,20160913,1
0,20160914,1
Ss,20160914,1
Na,20160914,1
0,20160915,1
Ss,20160915,1
Na,20160915,1
0,20160916,1
Ss,20160916,1
Na,20160916,1
Yr,20160916,1
Fa,20160916,1
2,20160917,1
3,20160918,1
Nb,20160918,1
0,20160919,1
Ss,20160919,1
Na,20160919,1
0,20160920,1
Ss,20160920,1
Na,20160920,1
0,20160921,1
Ss,20160921,1
Na,20160921,1
0,20160922,1
Ss,20160922,1
Na,20160922,1
0,20160923,1
Ss,20160923,1
Na,20160923,1
Yr,20160923,1
Fa,20160923,1
2,20160924,1
3,20160925,1
Nb,20160925,1
0,20160926,1
Ss,20160926,1
Na,20160926,1
0,20160927,1
Ss,20160927,1
Na,20160927,1
0,20160928,1
Ss,20160928,1
Na,20160928,1
0,20160929,1
Ss,20160929,1
Na,20160929,1
0,20160930,1
Ss,20160930,1
Na,20160930,1
Yr,20160930,1
Fa,20160930,1
2,20161001,1
3,20161002,1
Ys,20161002,1
3,20161003,1
Nb,20161003,1
0,20161004,1
Ss,20161004,1
Na,20161004,1
0,20161005,1
Ss,20161005,1
Na,20161005,1
0,20161006,1
Ss,20161006,1
Na,20161006,1
0,20161007,1
Ss,20161007,1
Na,20161007,1
Yr,20161007,1
Fa,20161007,1
2,20161008,1
3,20161009,1
Nb,20161009,1
0,20161010,1
Ss,20161010,1
Na,20161010,1
0,20161011,1
Ss,20161011,1
Na,20161011,1
0,20161012,1
Ss,20161012,1
Na,20161012,1
0,20161013,1
Ss,20161013,1
Na,20161013,1
0,20161014,1
Ss,20161014,1
Na,20161014,1
Yr,20161014,1
Fa,20161014,1
2,20161015,1
3,20161016,1
Nb,20161016,1
0,20161017,1
Ss,20161017,1
Su,20161017,1
Na,20161017,1
0,20161018,1
Ss,20161018,1
Su,20161018,1
Na,20161018,1
0,20161019,1
Ss,20161019,1
Su,20161019,1
Na,20161019,1
0,20161020,1
Ss,20161020,1
Su,20161020,1
Na,20161020,1
0,20161021,1
Ss,20161021,1
Su,20161021,1
Na,20161021,1
Yr,20161021,1
Fa,20161021,1
2,20161022,1
3,20161023,1
Nb,20161023,1
0,20161024,1
Ss,20161024,1
Su,20161024,1
Na,20161024,1
0,20161025,1
Ss,20161025,1
Su,20161025,1
Na,20161025,1
0,20161026,1
Ss,20161026,1
Su,20161026,1
Na,20161026,1
0,20161027,1
Ss,20161027,1
Su,20161027,1
Na,20161027,1
0,20161028,1
Ss,20161028,1
Su,20161028,1
Na,20161028,1
Yr,20161028,1
Fa,20161028,1
2,20161029,1
3,20161030,1
Nb,20161030,1
0,20161031,1
Sf,20161031,1
Su,20161031,1
Na,20161031,1
Yr,20161031,1
Fb,20161031,1
Fa,20161031,1
3,20161101,1
Nb,20161101,1
0,20161102,1
Sf,20161102,1
Su,20161102,1
Na,20161102,1
0,20161103,1
Sf,20161103,1
Su,20161103,1
Na,20161103,1
0,20161104,1
Sf,20161104,1
Su,20161104,1
Na,20161104,1
Yr,20161104,1
Fa,20161104,1
2,20161105,1
3,20161106,1
Nb,20161106,1
0,20161107,1
Ss,20161107,1
Su,20161107,1
Na,20161107,1
0,20161108,1
Ss,20161108,1
Su,20161108,1
Na,20161108,1
0,20161109,1
Ss,20161109,1
Su,20161109,1
Na,20161109,1
0,20161110,1
Ss,20161110,1
Su,20161110,1
Na,20161110,1
0,20161111,1
Ss,20161111,1
Su,20161111,1
Na,20161111,1
Yr,20161111,1
Fa,20161111,1
2,20161112,1
3,20161113,1
Nb,20161113,1
0,20161114,1
Ss,20161114,1
Su,20161114,1
Na,20161114,1
0,20161115,1
Ss,20161115,1
Su,20161115,1
